year,ai_value,unemployment_value
2023,10.7,0.5
2023,10.7,
2023,10.7,
2023,10.7,1.5
2023,10.7,0.5
2023,10.7,
2023,10.7,2.0
2023,10.7,1.2
2023,10.7,0.9
2023,10.7,
2023,10.7,2.1
2023,10.7,
2023,10.7,
2023,10.7,
2023,10.7,
2023,10.7,1.4
2023,10.7,
2024,3.2,
2024,3.2,1.9
2024,3.2,1.3
2024,3.2,0.6
2024,3.2,
2024,3.2,1.7
2024,3.2,1.3
2024,3.2,0.6
2024,3.2,
2024,3.2,2.2
2024,3.2,1.3
2024,3.2,0.6
2024,3.2,
2024,3.2,
2024,3.2,1.4
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,1.6
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,2.9
2024,3.2,1.3
2024,3.2,0.5
2024,3.2,
2024,3.2,2.9
2024,3.2,1.1
2024,3.2,0.5
2024,3.2,
2024,3.2,
2024,3.2,1.4
2024,3.2,0.6
2024,3.2,
2024,3.2,1.3
2024,3.2,1.2
2024,3.2,0.7
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,3.2,
2024,8.3,
2024,8.3,1.9
2024,8.3,1.3
2024,8.3,0.6
2024,8.3,
2024,8.3,1.7
2024,8.3,1.3
2024,8.3,0.6
2024,8.3,
2024,8.3,2.2
2024,8.3,1.3
2024,8.3,0.6
2024,8.3,
2024,8.3,
2024,8.3,1.4
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,1.6
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,2.9
2024,8.3,1.3
2024,8.3,0.5
2024,8.3,
2024,8.3,2.9
2024,8.3,1.1
2024,8.3,0.5
2024,8.3,
2024,8.3,
2024,8.3,1.4
2024,8.3,0.6
2024,8.3,
2024,8.3,1.3
2024,8.3,1.2
2024,8.3,0.7
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,8.3,
2024,20.4,
2024,20.4,1.9
2024,20.4,1.3
2024,20.4,0.6
2024,20.4,
2024,20.4,1.7
2024,20.4,1.3
2024,20.4,0.6
2024,20.4,
2024,20.4,2.2
2024,20.4,1.3
2024,20.4,0.6
2024,20.4,
2024,20.4,
2024,20.4,1.4
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,1.6
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,2.9
2024,20.4,1.3
2024,20.4,0.5
2024,20.4,
2024,20.4,2.9
2024,20.4,1.1
2024,20.4,0.5
2024,20.4,
2024,20.4,
2024,20.4,1.4
2024,20.4,0.6
2024,20.4,
2024,20.4,1.3
2024,20.4,1.2
2024,20.4,0.7
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2024,20.4,
2023,1.7,
2023,1.7,2.6
2023,1.7,1.4
2023,1.7,0.6
2023,1.7,
2023,1.7,2.9
2023,1.7,1.4
2023,1.7,0.6
2023,1.7,
2023,1.7,2.1
2023,1.7,1.4
2023,1.7,0.5
2023,1.7,
2023,1.7,
2023,1.7,1.4
2023,1.7,
2023,1.7,
2023,1.7,
2023,1.7,1.4
2023,1.7,
2023,1.7,
2023,1.7,
2023,1.7,
2023,1.7,
2023,1.7,
2023,1.7,4.0
2023,1.7,1.5
2023,1.7,0.5
2023,1.7,
2023,1.7,4.0
2023,1.7,1.5
2023,1.7,0.5
2023,1.7,
2023,1.7,
2023,1.7,1.5
2023,1.7,0.5
2023,1.7,
2023,1.7,2.0
2023,1.7,1.2
2023,1.7,0.9
2023,1.7,
2023,1.7,2.1
2023,1.7,
2023,1.7,
2023,1.7,
2023,1.7,
2023,1.7,1.4
2023,1.7,
2023,3.6,
2023,3.6,2.6
2023,3.6,1.4
2023,3.6,0.6
2023,3.6,
2023,3.6,2.9
2023,3.6,1.4
2023,3.6,0.6
2023,3.6,
2023,3.6,2.1
2023,3.6,1.4
2023,3.6,0.5
2023,3.6,
2023,3.6,
2023,3.6,1.4
2023,3.6,
2023,3.6,
2023,3.6,
2023,3.6,1.4
2023,3.6,
2023,3.6,
2023,3.6,
2023,3.6,
2023,3.6,
2023,3.6,
2023,3.6,4.0
2023,3.6,1.5
2023,3.6,0.5
2023,3.6,
2023,3.6,4.0
2023,3.6,1.5
2023,3.6,0.5
2023,3.6,
2023,3.6,
2023,3.6,1.5
2023,3.6,0.5
2023,3.6,
2023,3.6,2.0
2023,3.6,1.2
2023,3.6,0.9
2023,3.6,
2023,3.6,2.1
2023,3.6,
2023,3.6,
2023,3.6,
2023,3.6,
2023,3.6,1.4
2023,3.6,
2023,10.9,
2023,10.9,2.6
2023,10.9,1.4
2023,10.9,0.6
2023,10.9,
2023,10.9,2.9
2023,10.9,1.4
2023,10.9,0.6
2023,10.9,
2023,10.9,2.1
2023,10.9,1.4
2023,10.9,0.5
2023,10.9,
2023,10.9,
2023,10.9,1.4
2023,10.9,
2023,10.9,
2023,10.9,
2023,10.9,1.4
2023,10.9,
2023,10.9,
2023,10.9,
2023,10.9,
2023,10.9,
2023,10.9,
2023,10.9,4.0
2023,10.9,1.5
2023,10.9,0.5
2023,10.9,
2023,10.9,4.0
2023,10.9,1.5
2023,10.9,0.5
2023,10.9,
2023,10.9,
2023,10.9,1.5
2023,10.9,0.5
2023,10.9,
2023,10.9,2.0
2023,10.9,1.2
2023,10.9,0.9
2023,10.9,
2023,10.9,2.1
2023,10.9,
2023,10.9,
2023,10.9,
2023,10.9,
2023,10.9,1.4
2023,10.9,
2024,6.3,
2024,6.3,1.9
2024,6.3,1.3
2024,6.3,0.6
2024,6.3,
2024,6.3,1.7
2024,6.3,1.3
2024,6.3,0.6
2024,6.3,
2024,6.3,2.2
2024,6.3,1.3
2024,6.3,0.6
2024,6.3,
2024,6.3,
2024,6.3,1.4
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,1.6
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,2.9
2024,6.3,1.3
2024,6.3,0.5
2024,6.3,
2024,6.3,2.9
2024,6.3,1.1
2024,6.3,0.5
2024,6.3,
2024,6.3,
2024,6.3,1.4
2024,6.3,0.6
2024,6.3,
2024,6.3,1.3
2024,6.3,1.2
2024,6.3,0.7
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,6.3,
2024,10.2,
2024,10.2,1.9
2024,10.2,1.3
2024,10.2,0.6
2024,10.2,
2024,10.2,1.7
2024,10.2,1.3
2024,10.2,0.6
2024,10.2,
2024,10.2,2.2
2024,10.2,1.3
2024,10.2,0.6
2024,10.2,
2024,10.2,
2024,10.2,1.4
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,1.6
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,2.9
2024,10.2,1.3
2024,10.2,0.5
2024,10.2,
2024,10.2,2.9
2024,10.2,1.1
2024,10.2,0.5
2024,10.2,
2024,10.2,
2024,10.2,1.4
2024,10.2,0.6
2024,10.2,
2024,10.2,1.3
2024,10.2,1.2
2024,10.2,0.7
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,10.2,
2024,23.6,
2024,23.6,1.9
2024,23.6,1.3
2024,23.6,0.6
2024,23.6,
2024,23.6,1.7
2024,23.6,1.3
2024,23.6,0.6
2024,23.6,
2024,23.6,2.2
2024,23.6,1.3
2024,23.6,0.6
2024,23.6,
2024,23.6,
2024,23.6,1.4
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,1.6
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,2.9
2024,23.6,1.3
2024,23.6,0.5
2024,23.6,
2024,23.6,2.9
2024,23.6,1.1
2024,23.6,0.5
2024,23.6,
2024,23.6,
2024,23.6,1.4
2024,23.6,0.6
2024,23.6,
2024,23.6,1.3
2024,23.6,1.2
2024,23.6,0.7
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2024,23.6,
2023,0.8,
2023,0.8,2.6
2023,0.8,1.4
2023,0.8,0.6
2023,0.8,
2023,0.8,2.9
2023,0.8,1.4
2023,0.8,0.6
2023,0.8,
2023,0.8,2.1
2023,0.8,1.4
2023,0.8,0.5
2023,0.8,
2023,0.8,
2023,0.8,1.4
2023,0.8,
2023,0.8,
2023,0.8,
2023,0.8,1.4
2023,0.8,
2023,0.8,
2023,0.8,
2023,0.8,
2023,0.8,
2023,0.8,
2023,0.8,4.0
2023,0.8,1.5
2023,0.8,0.5
2023,0.8,
2023,0.8,4.0
2023,0.8,1.5
2023,0.8,0.5
2023,0.8,
2023,0.8,
2023,0.8,1.5
2023,0.8,0.5
2023,0.8,
2023,0.8,2.0
2023,0.8,1.2
2023,0.8,0.9
2023,0.8,
2023,0.8,2.1
2023,0.8,
2023,0.8,
2023,0.8,
2023,0.8,
2023,0.8,1.4
2023,0.8,
2023,3.5,
2023,3.5,2.6
2023,3.5,1.4
2023,3.5,0.6
2023,3.5,
2023,3.5,2.9
2023,3.5,1.4
2023,3.5,0.6
2023,3.5,
2023,3.5,2.1
2023,3.5,1.4
2023,3.5,0.5
2023,3.5,
2023,3.5,
2023,3.5,1.4
2023,3.5,
2023,3.5,
2023,3.5,
2023,3.5,1.4
2023,3.5,
2023,3.5,
2023,3.5,
2023,3.5,
2023,3.5,
2023,3.5,
2023,3.5,4.0
2023,3.5,1.5
2023,3.5,0.5
2023,3.5,
2023,3.5,4.0
2023,3.5,1.5
2023,3.5,0.5
2023,3.5,
2023,3.5,
2023,3.5,1.5
2023,3.5,0.5
2023,3.5,
2023,3.5,2.0
2023,3.5,1.2
2023,3.5,0.9
2023,3.5,
2023,3.5,2.1
2023,3.5,
2023,3.5,
2023,3.5,
2023,3.5,
2023,3.5,1.4
2023,3.5,
2023,8.9,
2023,8.9,2.6
2023,8.9,1.4
2023,8.9,0.6
2023,8.9,
2023,8.9,2.9
2023,8.9,1.4
2023,8.9,0.6
2023,8.9,
2023,8.9,2.1
2023,8.9,1.4
2023,8.9,0.5
2023,8.9,
2023,8.9,
2023,8.9,1.4
2023,8.9,
2023,8.9,
2023,8.9,
2023,8.9,1.4
2023,8.9,
2023,8.9,
2023,8.9,
2023,8.9,
2023,8.9,
2023,8.9,
2023,8.9,4.0
2023,8.9,1.5
2023,8.9,0.5
2023,8.9,
2023,8.9,4.0
2023,8.9,1.5
2023,8.9,0.5
2023,8.9,
2023,8.9,
2023,8.9,1.5
2023,8.9,0.5
2023,8.9,
2023,8.9,2.0
2023,8.9,1.2
2023,8.9,0.9
2023,8.9,
2023,8.9,2.1
2023,8.9,
2023,8.9,
2023,8.9,
2023,8.9,
2023,8.9,1.4
2023,8.9,
2024,2.4,
2024,2.4,1.9
2024,2.4,1.3
2024,2.4,0.6
2024,2.4,
2024,2.4,1.7
2024,2.4,1.3
2024,2.4,0.6
2024,2.4,
2024,2.4,2.2
2024,2.4,1.3
2024,2.4,0.6
2024,2.4,
2024,2.4,
2024,2.4,1.4
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,1.6
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,2.9
2024,2.4,1.3
2024,2.4,0.5
2024,2.4,
2024,2.4,2.9
2024,2.4,1.1
2024,2.4,0.5
2024,2.4,
2024,2.4,
2024,2.4,1.4
2024,2.4,0.6
2024,2.4,
2024,2.4,1.3
2024,2.4,1.2
2024,2.4,0.7
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,2.4,
2024,4.7,
2024,4.7,1.9
2024,4.7,1.3
2024,4.7,0.6
2024,4.7,
2024,4.7,1.7
2024,4.7,1.3
2024,4.7,0.6
2024,4.7,
2024,4.7,2.2
2024,4.7,1.3
2024,4.7,0.6
2024,4.7,
2024,4.7,
2024,4.7,1.4
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,1.6
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,2.9
2024,4.7,1.3
2024,4.7,0.5
2024,4.7,
2024,4.7,2.9
2024,4.7,1.1
2024,4.7,0.5
2024,4.7,
2024,4.7,
2024,4.7,1.4
2024,4.7,0.6
2024,4.7,
2024,4.7,1.3
2024,4.7,1.2
2024,4.7,0.7
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,4.7,
2024,16.8,
2024,16.8,1.9
2024,16.8,1.3
2024,16.8,0.6
2024,16.8,
2024,16.8,1.7
2024,16.8,1.3
2024,16.8,0.6
2024,16.8,
2024,16.8,2.2
2024,16.8,1.3
2024,16.8,0.6
2024,16.8,
2024,16.8,
2024,16.8,1.4
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,1.6
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,2.9
2024,16.8,1.3
2024,16.8,0.5
2024,16.8,
2024,16.8,2.9
2024,16.8,1.1
2024,16.8,0.5
2024,16.8,
2024,16.8,
2024,16.8,1.4
2024,16.8,0.6
2024,16.8,
2024,16.8,1.3
2024,16.8,1.2
2024,16.8,0.7
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2024,16.8,
2023,1.5,
2023,1.5,2.6
2023,1.5,1.4
2023,1.5,0.6
2023,1.5,
2023,1.5,2.9
2023,1.5,1.4
2023,1.5,0.6
2023,1.5,
2023,1.5,2.1
2023,1.5,1.4
2023,1.5,0.5
2023,1.5,
2023,1.5,
2023,1.5,1.4
2023,1.5,
2023,1.5,
2023,1.5,
2023,1.5,1.4
2023,1.5,
